case=83 start=(234,231) goal=(177,219) dist=618 steps=57 (H=45,D=12) time=4ms | PQ push=46881 pop=46881 dec=20 scans=0 moves=628832 | algo relax=355130 improved=46900 settled=46881
case=84 start=(159,248) goal=(212,35) dist=2496 steps=224 (H=160,D=64) time=4ms | PQ push=46881 pop=46881 dec=23 scans=0 moves=642314 | algo relax=355130 improved=46903 settled=46881
case=85 start=(100,169) goal=(89,219) dist=544 steps=50 (H=39,D=11) time=5ms | PQ push=46881 pop=46881 dec=20 scans=0 moves=675164 | algo relax=355130 improved=46900 settled=46881
case=86 start=(147,253) goal=(180,10) dist=2562 steps=243 (H=210,D=33) time=5ms | PQ push=46881 pop=46881 dec=21 scans=0 moves=642560 | algo relax=355130 improved=46901 settled=46881
case=87 start=(142,249) goal=(212,114) dist=1724 steps=144 (H=73,D=71) time=5ms | PQ push=46881 pop=46881 dec=20 scans=0 moves=644228 | algo relax=355130 improved=46900 settled=46881
case=88 start=(193,17) goal=(86,185) dist=2286 steps=195 (H=111,D=84) time=5ms | PQ push=46881 pop=46881 dec=13 scans=0 moves=648530 | algo relax=355130 improved=46893 settled=46881
case=89 start=(223,178) goal=(123,86) dist=1502 steps=121 (H=48,D=73) time=5ms | PQ push=46881 pop=46881 dec=21 scans=0 moves=650480 | algo relax=355130 improved=46901 settled=46881
case=90 start=(126,174) goal=(238,216) dist=1308 steps=114 (H=72,D=42) time=5ms | PQ push=46881 pop=46881 dec=18 scans=0 moves=683636 | algo relax=355130 improved=46898 settled=46881
case=91 start=(215,212) goal=(108,109) dist=1868 steps=170 (H=128,D=42) time=5ms | PQ push=46881 pop=46881 dec=23 scans=0 moves=634802 | algo relax=355130 improved=46903 settled=46881
case=92 start=(165,223) goal=(138,129) dist=1048 steps=94 (H=67,D=27) time=5ms | PQ push=46881 pop=46881 dec=17 scans=0 moves=650754 | algo relax=355130 improved=46897 settled=46881
case=93 start=(77,32) goal=(224,21) dist=1728 steps=152 (H=100,D=52) time=5ms | PQ push=46881 pop=46881 dec=15 scans=0 moves=648732 | algo relax=355130 improved=46895 settled=46881
case=94 start=(184,114) goal=(178,50) dist=712 steps=64 (H=46,D=18) time=5ms | PQ push=46881 pop=46881 dec=18 scans=0 moves=674692 | algo relax=355130 improved=46898 settled=46881
case=95 start=(8,255) goal=(193,31) dist=3434 steps=289 (H=153,D=136) time=4ms | PQ push=46881 pop=46881 dec=21 scans=0 moves=635830 | algo relax=355130 improved=46901 settled=46881
case=96 start=(137,113) goal=(135,106) dist=78 steps=7 (H=5,D=2) time=5ms | PQ push=46881 pop=46881 dec=17 scans=0 moves=711826 | algo relax=355130 improved=46897 settled=46881
case=97 start=(183,149) goal=(186,111) dist=392 steps=38 (H=35,D=3) time=5ms | PQ push=46881 pop=46881 dec=18 scans=0 moves=674284 | algo relax=355130 improved=46898 settled=46881
case=98 start=(97,106) goal=(140,42) dist=916 steps=80 (H=51,D=29) time=5ms | PQ push=46881 pop=46881 dec=13 scans=0 moves=694142 | algo relax=355130 improved=46893 settled=46881
case=99 start=(10,7) goal=(207,189) dist=3130 steps=265 (H=145,D=120) time=4ms | PQ push=46881 pop=46881 dec=28 scans=0 moves=628724 | algo relax=355130 improved=46908 settled=46881
case=100 start=(10,198) goal=(6,199) dist=44 steps=4 (H=3,D=1) time=0ms | PQ push=603 pop=603 dec=0 scans=0 moves=3608 | algo relax=4228 improved=602 settled=603
case=101 start=(152,206) goal=(118,252) dist=596 steps=46 (H=12,D=34) time=5ms | PQ push=46881 pop=46881 dec=14 scans=0 moves=663544 | algo relax=355130 improved=46894 settled=46881
case=102 start=(28,72) goal=(49,165) dist=1186 steps=103 (H=64,D=39) time=4ms | PQ push=46881 pop=46881 dec=38 scans=0 moves=648814 | algo relax=355130 improved=46918 settled=46881
case=103 start=(44,237) goal=(250,32) dist=3696 steps=310 (H=161,D=149) time=4ms | PQ push=46881 pop=46881 dec=22 scans=0 moves=636820 | algo relax=355130 improved=46902 settled=46881
case=104 start=(244,8) goal=(164,190) dist=2358 steps=197 (H=100,D=97) time=4ms | PQ push=46881 pop=46881 dec=14 scans=0 moves=639602 | algo relax=355130 improved=46894 settled=46881
case=105 start=(136,196) goal=(232,166) dist=1080 steps=96 (H=66,D=30) time=4ms | PQ push=46881 pop=46881 dec=17 scans=0 moves=673348 | algo relax=355130 improved=46897 settled=46881
case=106 start=(192,64) goal=(183,45) dist=252 steps=22 (H=14,D=8) time=4ms | PQ push=46881 pop=46881 dec=15 scans=0 moves=662930 | algo relax=355130 improved=46895 settled=46881
case=107 start=(92,211) goal=(164,117) dist=1348 steps=114 (H=62,D=52) time=4ms | PQ push=46881 pop=46881 dec=24 scans=0 moves=658776 | algo relax=355130 improved=46904 settled=46881
case=108 start=(71,170) goal=(167,240) dist=1240 steps=96 (H=26,D=70) time=5ms | PQ push=46881 pop=46881 dec=21 scans=0 moves=665766 | algo relax=355130 improved=46901 settled=46881
case=109 start=(50,173) goal=(240,47) dist=2772 steps=242 (H=154,D=88) time=5ms | PQ push=46881 pop=46881 dec=48 scans=0 moves=655390 | algo relax=355130 improved=46928 settled=46881
case=110 start=(204,58) goal=(177,136) dist=888 steps=78 (H=51,D=27) time=4ms | PQ push=46881 pop=46881 dec=21 scans=0 moves=658708 | algo relax=355130 improved=46901 settled=46881
case=111 start=(141,13) goal=(117,119) dist=1172 steps=106 (H=78,D=28) time=5ms | PQ push=46881 pop=46881 dec=12 scans=0 moves=650672 | algo relax=355130 improved=46892 settled=46881
case=112 start=(167,142) goal=(27,224) dist=2192 steps=196 (H=138,D=58) time=7ms | PQ push=46881 pop=46881 dec=43 scans=0 moves=695338 | algo relax=355130 improved=46923 settled=46881
case=113 start=(242,106) goal=(106,232) dist=1990 steps=157 (H=52,D=105) time=5ms | PQ push=46881 pop=46881 dec=14 scans=0 moves=653518 | algo relax=355130 improved=46894 settled=46881
case=114 start=(10,9) goal=(251,144) dist=3222 steps=277 (H=164,D=113) time=5ms | PQ push=46881 pop=46881 dec=28 scans=0 moves=628812 | algo relax=355130 improved=46908 settled=46881
case=115 start=(206,113) goal=(91,215) dist=1810 steps=157 (H=97,D=60) time=5ms | PQ push=46881 pop=46881 dec=19 scans=0 moves=663530 | algo relax=355130 improved=46899 settled=46881
case=116 start=(198,43) goal=(2,235) dist=3200 steps=272 (H=152,D=120) time=6ms | PQ push=46881 pop=46881 dec=14 scans=0 moves=655210 | algo relax=355130 improved=46894 settled=46881
case=117 start=(255,124) goal=(253,123) dist=24 steps=2 (H=1,D=1) time=5ms | PQ push=46881 pop=46881 dec=10 scans=0 moves=653610 | algo relax=355130 improved=46890 settled=46881
case=118 start=(125,189) goal=(142,220) dist=378 steps=31 (H=14,D=17) time=5ms | PQ push=46881 pop=46881 dec=19 scans=0 moves=678068 | algo relax=355130 improved=46899 settled=46881
